index,query,answer,category
10.0,"{'pid': '30', 'question': 'As shown in the figure, the two chords AB and CD in the circle intersect at E, ∠D = 35.0, ∠AEC = 105.0, then ∠C = ()', 'image': 'images/30.jpg', 'decoded_image': <PIL.JpegImagePlugin.JpegImageFile image mode=L size=117x113 at 0x7CB155EFFF70>, 'choices': ['60°', '70°', '80°', '85°'], 'unit': None, 'precision': None, 'answer': '70°', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'geometry diagram', 'grade': 'high school', 'img_height': 113, 'img_width': 117, 'language': 'english', 'skills': ['geometry reasoning', 'algebraic reasoning'], 'source': 'UniGeo', 'split': 'testmini', 'task': 'geometry problem solving'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: As shown in the figure, the two chords AB and CD in the circle intersect at E, ∠D = 35.0, ∠AEC = 105.0, then ∠C = ()\nChoices:\n(A) 60°\n(B) 70°\n(C) 80°\n(D) 85°'}",The answer: 70°. (B),The task: GPS.
11.0,"{'pid': '33', 'question': 'Use a sector paper sheet with a central angle of 120.0 and a radius of 6.0 to roll into a conical bottomless paper cap (as shown in the picture), then the bottom perimeter of the paper cap is ()', 'image': 'images/33.jpg', 'decoded_image': <PIL.JpegImagePlugin.JpegImageFile image mode=L size=331x95 at 0x7CB155EFC760>, 'choices': ['2πcm', '3πcm', '4πcm', '5πcm'], 'unit': None, 'precision': None, 'answer': '4πcm', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'geometry diagram', 'grade': 'high school', 'img_height': 95, 'img_width': 331, 'language': 'english', 'skills': ['geometry reasoning', 'algebraic reasoning'], 'source': 'UniGeo', 'split': 'testmini', 'task': 'geometry problem solving'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: Use a sector paper sheet with a central angle of 120.0 and a radius of 6.0 to roll into a conical bottomless paper cap (as shown in the picture), then the bottom perimeter of the paper cap is ()\nChoices:\n(A) 2πcm\n(B) 3πcm\n(C) 4πcm\n(D) 5πcm'}",The answer: 4πcm. (C),"The task: GPS.
C"
12.0,"{'pid': '34', 'question': 'Is this function continuous at each point?', 'image': 'images/34.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=479x479 at 0x7CB155EFDF30>, 'choices': ['Yes', 'No'], 'unit': None, 'precision': None, 'answer': 'No', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'function plot', 'grade': 'college', 'img_height': 479, 'img_width': 479, 'language': 'english', 'skills': ['algebraic reasoning'], 'source': 'FunctionQA', 'split': 'testmini', 'task': 'textbook question answering'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: Is this function continuous at each point?\nChoices:\n(A) Yes\n(B) No'}",The answer: No. B,The task : FQA.
13.0,"{'pid': '37', 'question': 'What is the limit as x approaches -1?', 'image': 'images/37.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=408x410 at 0x7CB155EFC9D0>, 'choices': None, 'unit': None, 'precision': None, 'answer': '3', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'function plot', 'grade': 'college', 'img_height': 410, 'img_width': 408, 'language': 'english', 'skills': ['algebraic reasoning'], 'source': 'FunctionQA', 'split': 'testmini', 'task': 'textbook question answering'}, 'query': 'Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: What is the limit as x approaches -1?'}",The answer: 2.,The task: FQA.
14.0,"{'pid': '39', 'question': 'Is this function odd or even?', 'image': 'images/39.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=433x304 at 0x7CB155EFE860>, 'choices': ['odd', 'even'], 'unit': None, 'precision': None, 'answer': 'odd', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'function plot', 'grade': 'college', 'img_height': 304, 'img_width': 433, 'language': 'english', 'skills': ['algebraic reasoning'], 'source': 'FunctionQA', 'split': 'testmini', 'task': 'textbook question answering'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: Is this function odd or even?\nChoices:\n(A) odd\n(B) even'}",The answer: B. Even.,"The task : FQA.
(B) even"
15.0,"{'pid': '40', 'question': 'Subtract all brown blocks. Subtract all large blue rubber things. How many objects are left?', 'image': 'images/40.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=320x240 at 0x7CB155EFDF30>, 'choices': None, 'unit': None, 'precision': None, 'answer': '7', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'synthetic scene', 'grade': 'elementary school', 'img_height': 240, 'img_width': 320, 'language': 'english', 'skills': ['arithmetic reasoning'], 'source': 'CLEVR-Math', 'split': 'testmini', 'task': 'math word problem'}, 'query': 'Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: Subtract all brown blocks. Subtract all large blue rubber things. How many objects are left?'}",The answer: 7.,The task : FQA.
16.0,"{'pid': '44', 'question': 'Chase wants to buy 4 kilograms of oval beads and 5 kilograms of star-shaped beads. How much will he spend? (Unit: $)', 'image': 'images/44.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGB size=305x226 at 0x7CB155F0BDC0>, 'choices': None, 'unit': None, 'precision': None, 'answer': '18', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'table', 'grade': 'high school', 'img_height': 226, 'img_width': 305, 'language': 'english', 'skills': ['arithmetic reasoning', 'statistical reasoning'], 'source': 'TabMWP', 'split': 'testmini', 'task': 'math word problem'}, 'query': 'Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: Chase wants to buy 4 kilograms of oval beads and 5 kilograms of star-shaped beads. How much will he spend? (Unit: $)'}",The answer: $18.,"The task : MWP.
18"
17.0,"{'pid': '45', 'question': 'An administrator at the Department of Motor Vehicles (DMV) tracked the average wait time from month to month. According to the table, what was the rate of change between August and September? (Unit: minutes per month)', 'image': 'images/45.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGB size=273x218 at 0x7CB155F0BDC0>, 'choices': None, 'unit': None, 'precision': None, 'answer': '-3', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'table', 'grade': 'high school', 'img_height': 218, 'img_width': 273, 'language': 'english', 'skills': ['arithmetic reasoning', 'statistical reasoning'], 'source': 'TabMWP', 'split': 'testmini', 'task': 'math word problem'}, 'query': 'Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: An administrator at the Department of Motor Vehicles (DMV) tracked the average wait time from month to month. According to the table, what was the rate of change between August and September? (Unit: minutes per month)'}",The answer: -3.,The task : FQA.
18.0,"{'pid': '47', 'question': 'Subtract all rubber balls. Subtract all yellow shiny things. How many objects are left?', 'image': 'images/47.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=320x240 at 0x7CB155F0BDC0>, 'choices': None, 'unit': None, 'precision': None, 'answer': '6', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'synthetic scene', 'grade': 'elementary school', 'img_height': 240, 'img_width': 320, 'language': 'english', 'skills': ['arithmetic reasoning'], 'source': 'CLEVR-Math', 'split': 'testmini', 'task': 'math word problem'}, 'query': 'Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: Subtract all rubber balls. Subtract all yellow shiny things. How many objects are left?'}",The answer: 7.,The task : FQA.
19.0,"{'pid': '48', 'question': 'Find $m \\angle 3$.', 'image': 'images/48.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=596x426 at 0x7CB155F0BFA0>, 'choices': ['28', '38', '52', '62'], 'unit': None, 'precision': None, 'answer': '38', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'geometry diagram', 'grade': 'high school', 'img_height': 426, 'img_width': 596, 'language': 'english', 'skills': ['geometry reasoning', 'algebraic reasoning'], 'source': 'Geometry3K', 'split': 'testmini', 'task': 'geometry problem solving'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: Find $m \\angle 3$.\nChoices:\n(A) 28\n(B) 38\n(C) 52\n(D) 62'}",The answer: 62. (D),The task: GPS.
20.0,"{'pid': '52', 'question': 'Subtract all big red metallic spheres. Subtract all big brown matte things. How many objects are left?', 'image': 'images/52.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=320x240 at 0x7CB155F08190>, 'choices': None, 'unit': None, 'precision': None, 'answer': '6', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'synthetic scene', 'grade': 'elementary school', 'img_height': 240, 'img_width': 320, 'language': 'english', 'skills': ['arithmetic reasoning'], 'source': 'CLEVR-Math', 'split': 'testmini', 'task': 'math word problem'}, 'query': 'Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: Subtract all big red metallic spheres. Subtract all big brown matte things. How many objects are left?'}",The answer: 5.,The task: FQA.
21.0,"{'pid': '54', 'question': 'In the figure above, the ratio of the length of line AB to the length of line AC is 2 : 5. If AC = 25, what is the length of line AB?', 'image': 'images/54.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGB size=433x310 at 0x7CB155F091E0>, 'choices': ['8', '10', '15', '18', '20'], 'unit': None, 'precision': None, 'answer': '10', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'geometry diagram', 'grade': 'high school', 'img_height': 310, 'img_width': 433, 'language': 'english', 'skills': ['geometry reasoning', 'algebraic reasoning'], 'source': 'GEOS', 'split': 'testmini', 'task': 'geometry problem solving'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: In the figure above, the ratio of the length of line AB to the length of line AC is 2 : 5. If AC = 25, what is the length of line AB?\nChoices:\n(A) 8\n(B) 10\n(C) 15\n(D) 18\n(E) 20'}",The answer: 10. (B),"The task : GPS.
B"
22.0,"{'pid': '56', 'question': 'What is the perimeter of the rectangle?', 'image': 'images/56.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGB size=202x295 at 0x7CB155F08190>, 'choices': None, 'unit': None, 'precision': None, 'answer': '6', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'geometry diagram', 'grade': 'elementary school', 'img_height': 295, 'img_width': 202, 'language': 'english', 'skills': ['geometry reasoning', 'arithmetic reasoning'], 'source': 'IconQA', 'split': 'testmini', 'task': 'math word problem'}, 'query': 'Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: What is the perimeter of the rectangle?'}",The answer: 6.,The task: GPS.
23.0,"{'pid': '57', 'question': 'Subtract all small balls. Subtract all blue rubber things. How many objects are left?', 'image': 'images/57.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=320x240 at 0x7CB155F091E0>, 'choices': None, 'unit': None, 'precision': None, 'answer': '2', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'synthetic scene', 'grade': 'elementary school', 'img_height': 240, 'img_width': 320, 'language': 'english', 'skills': ['arithmetic reasoning'], 'source': 'CLEVR-Math', 'split': 'testmini', 'task': 'math word problem'}, 'query': 'Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: Subtract all small balls. Subtract all blue rubber things. How many objects are left?'}",The answer: 1.,"The task : FQA.
1"
24.0,"{'pid': '59', 'question': 'As shown in the figure, AB is the diameter of ⊙O, CD is the chord of ⊙O, ∠ADC = 26.0, then the degree of ∠CAB is ()', 'image': 'images/59.jpg', 'decoded_image': <PIL.JpegImagePlugin.JpegImageFile image mode=L size=157x146 at 0x7CB155F08190>, 'choices': ['26°', '74°', '64°', '54°'], 'unit': None, 'precision': None, 'answer': '64°', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'geometry diagram', 'grade': 'high school', 'img_height': 146, 'img_width': 157, 'language': 'english', 'skills': ['geometry reasoning', 'algebraic reasoning'], 'source': 'UniGeo', 'split': 'testmini', 'task': 'geometry problem solving'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: As shown in the figure, AB is the diameter of ⊙O, CD is the chord of ⊙O, ∠ADC = 26.0, then the degree of ∠CAB is ()\nChoices:\n(A) 26°\n(B) 74°\n(C) 64°\n(D) 54°'}",The answer: 64°. (C),The task : GPS.
25.0,"{'pid': '63', 'question': 'Subtract all red matte cubes. Subtract all small green metal objects. How many objects are left?', 'image': 'images/63.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=320x240 at 0x7CB155F0BFA0>, 'choices': None, 'unit': None, 'precision': None, 'answer': '7', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'synthetic scene', 'grade': 'elementary school', 'img_height': 240, 'img_width': 320, 'language': 'english', 'skills': ['arithmetic reasoning'], 'source': 'CLEVR-Math', 'split': 'testmini', 'task': 'math word problem'}, 'query': 'Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: Subtract all red matte cubes. Subtract all small green metal objects. How many objects are left?'}",The answer: 5.,The task : FQA.
26.0,"{'pid': '65', 'question': 'is f(3) > 0?', 'image': 'images/65.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=327x325 at 0x7CB155F0BFA0>, 'choices': ['Yes', 'No'], 'unit': None, 'precision': None, 'answer': 'Yes', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'function plot', 'grade': 'college', 'img_height': 325, 'img_width': 327, 'language': 'english', 'skills': ['algebraic reasoning'], 'source': 'FunctionQA', 'split': 'testmini', 'task': 'textbook question answering'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: is f(3) > 0?\nChoices:\n(A) Yes\n(B) No'}",The answer: Yes. A.,The task: FQA.
27.0,"{'pid': '66', 'question': 'Choose the answer for the missing picture.', 'image': 'images/66.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=320x562 at 0x7CB155F091E0>, 'choices': ['A', 'B', 'C', 'D', 'E', 'F'], 'unit': None, 'precision': None, 'answer': 'A', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'puzzle test', 'grade': 'elementary school', 'img_height': 562, 'img_width': 320, 'language': 'english', 'skills': ['logical reasoning'], 'source': 'IQTest', 'split': 'testmini', 'task': 'figure question answering'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: Choose the answer for the missing picture.\nChoices:\n(A) A\n(B) B\n(C) C\n(D) D\n(E) E\n(F) F'}",The answer: E.,The task: FQA.
28.0,"{'pid': '67', 'question': 'What is the perimeter of the square?', 'image': 'images/67.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGB size=320x292 at 0x7CB155F09840>, 'choices': None, 'unit': None, 'precision': None, 'answer': '16', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'geometry diagram', 'grade': 'elementary school', 'img_height': 292, 'img_width': 320, 'language': 'english', 'skills': ['geometry reasoning', 'arithmetic reasoning'], 'source': 'IconQA', 'split': 'testmini', 'task': 'math word problem'}, 'query': 'Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: What is the perimeter of the square?'}",The answer: 16.,"The task: GPS.
16"
29.0,"{'pid': '69', 'question': 'Subtract all big matte balls. Subtract all green rubber objects. How many objects are left?', 'image': 'images/69.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=320x240 at 0x7CB155F09840>, 'choices': None, 'unit': None, 'precision': None, 'answer': '7', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'synthetic scene', 'grade': 'elementary school', 'img_height': 240, 'img_width': 320, 'language': 'english', 'skills': ['arithmetic reasoning'], 'source': 'CLEVR-Math', 'split': 'testmini', 'task': 'math word problem'}, 'query': 'Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: Subtract all big matte balls. Subtract all green rubber objects. How many objects are left?'}",The answer: 4.,"The task : FQA.
5"
